train accuracy,test accuracy
0.9178,0.9553
0.9657,0.9706
0.9749,0.975
0.9792,0.9799
0.9832,0.9822
0.9851,0.9844
0.9869,0.9836
0.9886,0.9829
0.9901,0.9821
0.9911,0.986
0.9919,0.9866
0.993,0.9872
0.9937,0.9869
0.9943,0.9872
0.9952,0.9884
0.9959,0.9876
0.9964,0.987
0.997,0.9881
0.9974,0.9886
0.9976,0.9885
0.7077,0.7835
0.8004,0.8328
0.8443,0.8571
0.871,0.8862
0.8873,0.8891
0.8947,0.899
0.9028,0.9004
0.909,0.9097
0.9125,0.916
0.9161,0.9153
0.9195,0.9197
0.9222,0.919
0.9235,0.924
0.9272,0.9151
0.9294,0.9245
0.9306,0.9208
0.9319,0.9287
0.933,0.9301
0.934,0.9331
0.9355,0.9306
0.5006,0.5007
0.5404,0.6029
0.623,0.6545
0.6651,0.6898
0.6839,0.7054
0.6987,0.7048
0.7098,0.7087
0.7218,0.7351
0.7252,0.7366
0.7362,0.7462
0.742,0.7454
0.7463,0.7505
0.7528,0.7581
0.7591,0.7611
0.7663,0.7622
0.7697,0.7748
0.7733,0.7618
0.7752,0.7792
0.7811,0.7866
0.7814,0.7805
0.5027,0.5059
0.5021,0.4976
0.5014,0.4957
0.504,0.4965
0.4983,0.4953
0.4987,0.4962
0.5007,0.5004
0.5013,0.4974
0.5002,0.4989
0.5018,0.4991
0.5018,0.501
0.5051,0.5055
0.5077,0.4957
0.5089,0.5144
0.5176,0.5219
0.5151,0.5071
0.5184,0.5227
0.5263,0.526
0.5249,0.5381
0.535,0.5383
0.4996,0.4914
0.4985,0.5013
0.5009,0.5022
0.5012,0.5057
0.4962,0.4915
0.4998,0.5002
0.4968,0.4884
0.501,0.5074
0.4991,0.5012
0.4981,0.5063
0.501,0.5072
0.5033,0.4913
0.5002,0.5007
0.4997,0.5018
0.5003,0.4941
0.5041,0.5036
0.5016,0.4855
0.4982,0.4996
0.4998,0.5
0.5,0.495
